จังหวัด,รัฐ/เอกชน,โรงพยาบาล,latitude,longitude,google_maps_url
สุพรรณบุรี,รัฐ,โรงพยาบาลอู่ทอง (สธ),14.3491649,99.87218980000002,"https://www.google.com/maps/search/?api=1&query=14.3491649,99.87218980000002&query_place_id=ChIJeUljmxuz4zARoqkVYJW0ItI"
สุราษฎร์ธานี,รัฐ,โรงพยาบาลกาญจนดิษฐ์ (สธ),9.1614985,99.4928772,"https://www.google.com/maps/search/?api=1&query=9.1614985,99.4928772&query_place_id=ChIJP1PCTHoMVDARI8qCcnV7L-A"
สุราษฎร์ธานี,รัฐ,โรงพยาบาลเกาะสมุย (สธ),9.5218263,99.935496,"https://www.google.com/maps/search/?api=1&query=9.521826299999999,99.935496&query_place_id=ChIJmWj8zUT2VDARz1OtWX_tDb4"
สุราษฎร์ธานี,รัฐ,โรงพยาบาลสุราษฎร์ธานี (สธ),9.1237537,99.3100007,"https://www.google.com/maps/search/?api=1&query=9.1237537,99.31000069999999&query_place_id=ChIJgUR82fkGVDARNEXrt8Cvs00"
สุราษฎร์ธานี,เอกชน,โรงพยาบาลวัฒนแพทย์ สมุย,9.5120168,100.0135929,"https://www.google.com/maps/search/?api=1&query=9.5120168,100.0135929&query_place_id=ChIJbyZmHFDxVDARMIN9Pb1a1e0"
สุรินทร์,รัฐ,โรงพยาบาลสุรินทร์ (สธ),14.8765646,103.5027463,"https://www.google.com/maps/search/?api=1&query=14.8765646,103.5027463&query_place_id=ChIJ7WQiz0riGTERTLA6hpH6JTY"
หนองคาย,รัฐ,โรงพยาบาลสมเด็จพระยุพราชท่าบ่อ (สธ),17.8476427,102.5766152,"https://www.google.com/maps/search/?api=1&query=17.8476427,102.5766152&query_place_id=ChIJhRcGPctvJDERUttMN6mKl3Q"
หนองคาย,รัฐ,โรงพยาบาลหนองคาย (สธ),17.8815416,102.7415855,"https://www.google.com/maps/search/?api=1&query=17.8815416,102.7415855&query_place_id=ChIJ1ROhqL5jJDERUfddZsRH4EI"
หนองบัวลำภู,รัฐ,โรงพยาบาลหนองบัวลำภู (สธ),17.1988785,102.4573085,"https://www.google.com/maps/search/?api=1&query=17.1988785,102.4573085&query_place_id=ChIJZxT7b0a_IzER3k9Rj4h51Ug"
อ่างทอง,รัฐ,โรงพยาบาลอ่างทอง (สธ),14.584759,100.4521518,"https://www.google.com/maps/search/?api=1&query=14.584759,100.4521518&query_place_id=ChIJY1vg0t0P4jARPw0Zpub6ddQ"
อำนาจเจริญ,รัฐ,โรงพยาบาลอำนาจเจริญ (สธ),15.863905,104.6238505,"https://www.google.com/maps/search/?api=1&query=15.863905,104.6238505&query_place_id=ChIJVaKRMsMiFjERXqt5NJO1_Nk"
อุดรธานี,รัฐ,โรงพยาบาลกุมภวาปี (สธ),17.1046596,103.0210586,"https://www.google.com/maps/search/?api=1&query=17.1046596,103.0210586&query_place_id=ChIJtX76ErMRIzER9oIlsvFLh_o"
อุดรธานี,รัฐ,โรงพยาบาลค่ายประจักษ์ศิลปาคม,17.3699643,102.8118553,"https://www.google.com/maps/search/?api=1&query=17.3699643,102.8118553&query_place_id=ChIJI2CrlBh2IzERveT7Rl1L6BI"
อุดรธานี,รัฐ,โรงพยาบาลสมเด็จพระยุพราชบ้านดุง (สธ),17.6915901,103.2587727,"https://www.google.com/maps/search/?api=1&query=17.6915901,103.2587727&query_place_id=ChIJ1zWPpv2jJDERnzwS7I5wQwY"
อุดรธานี,รัฐ,โรงพยาบาลอุดรธานี (สธ),17.4148709,102.7804229,"https://www.google.com/maps/search/?api=1&query=17.4148709,102.7804229&query_place_id=ChIJtzMTkBSdIzERT6IlV7TVbFw"
อุตรดิตถ์,รัฐ,โรงพยาบาลอุตรดิตถ์ (สธ),17.6191351,100.0869882,"https://www.google.com/maps/search/?api=1&query=17.6191351,100.0869882&query_place_id=ChIJH7dN3xsw3zARkw_fit4NDZ0"
